timestamp,READ
16-06-16 16:44:59,48,0502
16-06-16 16:45:00,693,7279
16-06-16 16:45:01,93,7193
16-06-16 16:45:02,211,9599
16-06-16 16:45:03,164,6595
16-06-16 16:45:04,216,1141
16-06-16 16:45:05,65,5252
16-06-16 16:45:06,109,2025
16-06-16 16:45:07,78,3780
16-06-16 16:45:08,168,3217
16-06-16 16:45:09,100,9171
16-06-16 16:45:10,73,2601
16-06-16 16:45:11,55,1812
16-06-16 16:45:12,60,9610
16-06-16 16:45:13,74,2741
16-06-16 16:45:14,33,1931
16-06-16 16:45:15,116,5670
16-06-16 16:45:16,49,7081
16-06-16 16:45:17,93,3970
16-06-16 16:45:18,37,7734
16-06-16 16:45:19,31,0969
16-06-16 16:45:20,320,6573
16-06-16 16:45:21,52,1760
16-06-16 16:45:22,88,0513
16-06-16 16:45:23,43,8073
16-06-16 16:45:24,24,7574
16-06-16 16:45:25,37,6341
16-06-16 16:45:26,25,1212
16-06-16 16:45:27,18,9506
16-06-16 16:45:28,30,9630
16-06-16 16:45:29,14,3613
16-06-16 16:45:30,13,4323
16-06-16 16:45:31,19,1872
16-06-16 16:45:32,18,5852
16-06-16 16:45:33,8,1616
16-06-16 16:45:34,21,5519
16-06-16 16:45:35,14,4196
16-06-16 16:45:36,6,7569
16-06-16 16:45:37,5,3924
16-06-16 16:45:38,11,5032
16-06-16 16:45:39,4,0122
16-06-16 16:45:40,11,0125
16-06-16 16:45:41,13,7086
16-06-16 16:45:42,3,3929
16-06-16 16:45:43,5,2058
16-06-16 16:45:44,3,7651
16-06-16 16:45:45,3,9265
16-06-16 16:45:46,4,5952
16-06-16 16:45:47,4,1818
16-06-16 16:45:48,3,2442
16-06-16 16:45:49,3,8343
16-06-16 16:45:50,4,7781
16-06-16 16:45:51,2,0991
16-06-16 16:45:52,2,8105
16-06-16 16:45:53,4,4429
16-06-16 16:45:54,2,2692
16-06-16 16:45:55,3,0493
16-06-16 16:45:56,2,0275
16-06-16 16:45:57,4,2565
16-06-16 16:45:58,1,2134
16-06-16 16:45:59,NaN
